Date,SVXY_adj_close_price,VXX_adj_close_price,^GSPC_adj_close_price,^VIX_adj_close_price,SVXY_adj_open_price,VXX_adj_open_price
08/28/2012,55.06,2979.84,1409.3,16.49,55.15,2967.04
08/29/2012,54.79,2984.96,1410.49,17.06,55.13,2969.6
08/30/2012,53.66,3051.52,1399.48,17.83,53.54,3054.08
08/31/2012,55.26,2946.56,1406.58,17.47,54.5,2997.76
09/04/2012,55.83,2926.08,1404.94,17.98,55.1,2961.92
09/05/2012,57.24,2846.72,1403.44,17.74,55.97,2915.84
09/06/2012,63.29,2553.6,1432.12,15.6,58.54,2787.84
09/07/2012,66.86,2408.96,1437.92,14.38,64.54,2506.24
09/10/2012,63.06,2542.08,1429.08,16.28,65.78,2444.8
09/11/2012,63.34,2524.16,1433.56,16.41,63.11,2531.84
09/12/2012,65,2452.48,1436.56,15.8,64.53,2467.84
09/13/2012,69.72,2270.75,1459.99,14.05,64.93,2452.48
09/14/2012,67.33,2350.08,1465.77,14.51,71.09,2227.2
09/17/2012,67.68,2321.92,1461.19,14.59,66.1,2388.48
09/18/2012,69.45,2268.16,1459.32,14.18,67.31,2344.96
09/19/2012,69.57,2265.6,1461.05,13.88,70.75,2224.64
09/20/2012,70.26,2240.26,1460.26,14.07,68.93,2283.52
09/21/2012,70.68,2225.92,1460.15,13.98,70.18,2242.56
09/24/2012,71.64,2193.92,1456.89,14.15,69.89,2250.24
09/25/2012,66.28,2366.72,1441.59,15.43,72.46,2170.88
09/26/2012,63.63,2449.92,1433.32,16.81,65.03,2406.4
09/27/2012,69.47,2234.88,1447.15,14.84,65.91,2373.12
09/28/2012,67.37,2304,1440.67,15.73,67.88,2280.96
10/01/2012,66.73,2325.76,1444.49,16.32,69.02,2245.12
10/02/2012,68.07,2273.28,1445.75,15.71,67.58,2291.2
10/03/2012,68.32,2273.28,1450.99,15.43,68,2280.96
10/04/2012,69.95,2214.4,1461.4,14.55,68.88,2245.12
10/05/2012,70.87,2183.68,1460.93,14.33,72.16,2144.64
10/08/2012,70.08,2209.28,1455.88,15.11,69.9,2213.12
10/09/2012,67.03,2302.53,1441.48,16.37,69.94,2212.48
10/10/2012,67.79,2275.2,1432.56,16.29,67.78,2277.12
10/11/2012,68.44,2240.64,1432.84,15.59,68.79,2239.36
10/12/2012,68,2264.34,1428.59,16.14,69.84,2209.28
10/15/2012,70.32,2190.08,1440.13,15.27,68.58,2246.4
10/16/2012,71.89,2136.95,1454.92,15.22,71.51,2149.12
10/17/2012,72.85,2110.72,1460.91,15.07,71.93,2132.48
10/18/2012,72.95,2104,1457.34,15.03,72.33,2124.8
10/19/2012,68.36,2239.36,1433.19,17.06,72.34,2124.16
10/22/2012,69.24,2211.2,1433.82,16.62,68.55,2230.4
10/23/2012,63.68,2384.64,1413.11,18.83,65.32,2332.8
10/24/2012,63.14,2398.07,1408.75,18.33,64.38,2346.88
10/25/2012,64.77,2334.72,1412.97,18.12,65.31,2314.88
10/26/2012,64.94,2323.2,1411.94,17.81,64.82,2331.52
10/31/2012,63.55,2368.64,1412.16,18.6,66.3,2277.76
11/01/2012,68.68,2179.2,1427.59,16.69,64.32,2348.8
11/02/2012,66.88,2235.31,1414.2,17.59,69.55,2148.48
11/05/2012,65.59,2275.83,1417.26,18.42,65.87,2263.04
11/06/2012,67.86,2197.12,1428.39,17.58,66.09,2257.92
